title,category,type
bajaj ke bengkel,transport,pengeluaran
beli makeup baru,belanja,pengeluaran
termia kado,hadiah,pemasukan
maxim motor ke pasar,transport,pengeluaran
pesan online,makanan,pengeluaran
charger bukalapak,belanja,pengeluaran
beli di sederhana,makanan,pengeluaran
sudah terima pendaptan,gaji,pemasukan
periksa dokter,kesehatan,pengeluaran
beli makanan tongseng,makanan,pengeluaran
pesan minuman espresso,minuman,pengeluaran
beli mainan di mall,belanja,pengeluaran
ketoprak,makanan,pengeluaran
isi pulsa axis,tagihan,pengeluaran
bayar kredit bulan ini,tagihan,pengeluaran
bayar gaji freelancer cash,tagihan,pengeluaran
kentang goreng di kantor,makanan,pengeluaran
hadiah giveaway tak terduga,hadiah,pemasukan
dapat kado tak terduga,hadiah,pemasukan
flihgt pulang kampung,transport,pengeluaran
ngopi di kopi soe,minuman,pengeluaran
steak siaang tadi,makanan,pengeluaran
dapat sumbangan kemarin,hadiah,pemasukan
beli boat batuk,kesehatan,pengeluaran
lion air ke jakarta,transport,pengeluaran
apotik urtin,kesehatan,pengeluaran
perpanjang streming,hiburan,pengeluaran
prime video,hiburan,pengeluaran
mie ayam pagi tdi,makanan,pengeluaran
transfer ke fee vendor,tagihan,pengeluaran
makan di cumi gorreng,makanan,pengeluaran
beli sandal di lazada,belanja,pengeluaran
pesan minuman cincau,minuman,pengeluaran
obat resep langganan,kesehatan,pengeluaran
gaji kontrak dr kantor,gaji,pemasukan
tripod shopee,belanja,pengeluaran
cek lab,kesehatan,pengeluaran
konser musik rame-rame,hiburan,pengeluaran
upah harian cair,gaji,pemasukan
pesan mkn kepiting di rumah mkn,makanan,pengeluaran
janji jiwa,minuman,pengeluaran
beli handsanitizer,kesehatan,pengeluaran
anik commuter line ke mall,transport,pengeluaran
beli uc,hiburan,pengeluaran
belanja makeup,belanja,pengeluaran
langganan disney,hiburan,pengeluaran
tempe goreng di kantin,makanan,pengeluaran
minum yakult,minuman,pengeluaran
yakult,minuman,pengeluaran
jalan-jalan sama teman,hiburan,pengeluaran
kirim bonus karyawan mingguan,tagihan,pengeluaran
makan nasi bakar bareng teamn,makanan,pengeluaran
honorarium,gaji,pemasukan
cinnemaxx akhir pekan,hiburan,pengeluaran
pesaan makan rendang,makanan,pengeluaran
bayar premi asuarnsi bulanan,tagihan,pengeluaran
bayar bpjs keseahtan bulan lalu,tagihan,pengeluaran
bayar parkir motor,transport,pengeluaran
bayar psikiater,kesehatan,pengeluaran
beli makanan aam kremes,makanan,pengeluaran
bayar kredt buln ini,tagihan,pengeluaran
ngopi di janji jiwa,minuman,pengeluaran
bayar sewa kos tiap bulan,tagihan,pengeluaran
bayar ganti oli,transport,pengeluaran
liburan sama teman,hiburan,pengeluaran
sewwa kos,tagihan,pengeluaran
ngasih gaji asisten,tagihan,pengeluaran
terima honor darri vendor,gaji,pemasukan
bayar hotel,hiburan,pengeluaran
pempek di kantor,makanan,pengeluaran
susu segar,minuman,pengeluaran
traktiran bailk dari ortu,hadiah,pemasukan
terima kado dari ortu,hadiah,pemasukan
sewa futsal,hiburan,pengeluaran
