title,category,secondary_category,type
bajaj ke bengkel,transport,pribadi,pengeluaran
beli makeup baru,belanja,kecantikan,pengeluaran
termia kado,hadiah,kado,pemasukan
maxim motor ke pasar,transport,online,pengeluaran
pesan online,makanan,makanan,pengeluaran
charger bukalapak,belanja,elektronik,pengeluaran
beli di sederhana,makanan,makanan,pengeluaran
sudah terima pendaptan,gaji,gaji,pemasukan
periksa dokter,kesehatan,konsul,pengeluaran
beli makanan tongseng,makanan,makanan,pengeluaran
pesan minuman espresso,minuman,jajanan,pengeluaran
beli mainan di mall,belanja,harian,pengeluaran
ketoprak,makanan,makanan,pengeluaran
isi pulsa axis,tagihan,internet_pulsa,pengeluaran
bayar kredit bulan ini,tagihan,kredit,pengeluaran
bayar gaji freelancer cash,tagihan,gaji_pihak3,pengeluaran
kentang goreng di kantor,makanan,makanan,pengeluaran
hadiah giveaway tak terduga,hadiah,undian,pemasukan
dapat kado tak terduga,hadiah,kado,pemasukan
flihgt pulang kampung,transport,pesawat,pengeluaran
ngopi di kopi soe,minuman,jajanan,pengeluaran
steak siaang tadi,makanan,makanan,pengeluaran
dapat sumbangan kemarin,hadiah,sumbangan,pemasukan
beli boat batuk,kesehatan,obat,pengeluaran
lion air ke jakarta,transport,pesawat,pengeluaran
apotik urtin,kesehatan,apotek,pengeluaran
perpanjang streming,hiburan,streaming,pengeluaran
prime video,hiburan,streaming,pengeluaran
mie ayam pagi tdi,makanan,makanan,pengeluaran
transfer ke fee vendor,tagihan,gaji_pihak3,pengeluaran
makan di cumi gorreng,makanan,makanan,pengeluaran
beli sandal di lazada,belanja,fashion,pengeluaran
pesan minuman cincau,minuman,jajanan,pengeluaran
obat resep langganan,kesehatan,obat,pengeluaran
gaji kontrak dr kantor,gaji,gaji,pemasukan
tripod shopee,belanja,elektronik,pengeluaran
cek lab,kesehatan,prosedur,pengeluaran
konser musik rame-rame,hiburan,tontonan,pengeluaran
upah harian cair,gaji,gaji,pemasukan
pesan mkn kepiting di rumah mkn,makanan,makanan,pengeluaran
janji jiwa,minuman,jajanan,pengeluaran
beli handsanitizer,kesehatan,obat,pengeluaran
anik commuter line ke mall,transport,umum,pengeluaran
beli uc,hiburan,game,pengeluaran
belanja makeup,belanja,kecantikan,pengeluaran
langganan disney,hiburan,streaming,pengeluaran
tempe goreng di kantin,makanan,jajanan,pengeluaran
minum yakult,minuman,minuman,pengeluaran
yakult,minuman,minuman,pengeluaran
jalan-jalan sama teman,hiburan,hiburan,pengeluaran
kirim bonus karyawan mingguan,tagihan,gaji_pihak3,pengeluaran
makan nasi bakar bareng teamn,makanan,makanan,pengeluaran
honorarium,gaji,komisi,pemasukan
cinnemaxx akhir pekan,hiburan,tontonan,pengeluaran
pesaan makan rendang,makanan,makanan,pengeluaran
bayar premi asuarnsi bulanan,tagihan,asuransi,pengeluaran
bayar bpjs keseahtan bulan lalu,tagihan,asuransi,pengeluaran
bayar parkir motor,transport,pribadi,pengeluaran
bayar psikiater,kesehatan,konsul,pengeluaran
beli makanan aam kremes,makanan,makanan,pengeluaran
bayar kredt buln ini,tagihan,kredit,pengeluaran
ngopi di janji jiwa,minuman,jajanan,pengeluaran
bayar sewa kos tiap bulan,tagihan,sewa,pengeluaran
bayar ganti oli,transport,pribadi,pengeluaran
liburan sama teman,hiburan,liburan,pengeluaran
sewwa kos,tagihan,sewa,pengeluaran
ngasih gaji asisten,tagihan,gaji_pihak3,pengeluaran
terima honor darri vendor,gaji,komisi,pemasukan
bayar hotel,hiburan,liburan,pengeluaran
pempek di kantor,makanan,jajanan,pengeluaran
