title,category,secondary_category,type
bayar komisi ke penghubung,tagihan,gaji_pihak3,pengeluaran
jajan ketupat,makanan,makanan,pengeluaran
bayar bayaran tomoro coffee,tagihan,tagihan,pengeluaran
iuran sampah via transfer,tagihan,iuran,pengeluaran
pesan honor pembicara tiap bulan,tagihan,gaji_pihak3,pengeluaran
kiriman dari mertua,hadiah,pemberian_masuk,pemasukan
naik pesan grab,transport,online,pengeluaran
maxim car,transport,online,pengeluaran
subscribe genshin impact top up minggu ini,hiburan,game,pengeluaran
beli lazada lvie diskon,belanja,online_shop,pengeluaran
erima tunjangan jabatan diskon,gaji,bonus,pemasukan
ngambil steam wallet di kantor,hiburan,game,pengeluaran
transfer upah tukkang,tagihan,tagihan,pengeluaran
subscribe tagihan bulanan bareng keluarga,tagihan,tagihan,pengeluaran
pesn chatime,minuman,minuman,pengeluaran
boking traveloka hotel,hiburan,liburan,pengeluaran
tagihan bulanan baru,tagihan,tagihan,pengeluaran
tiket kebbun binatang,hiburan,tontonan,pengeluaran
belanja di indomaret,belanja,harian,pengeluaran
order bpjs ketenagakerjaan baru,tagihan,asuransi,pengeluaran
meenerima gaji bulan ini,gaji,gaji,pemasukan
pesan wings air diskon,transport,pesawat,pengeluaran
beli biaya berobat bulaan ini,kesehatan,kesehatan,pengeluaran
diterima bonuus kerja,gaji,gaji,pemasukan
bayar komisi ke makelar,tagihan,gaji_pihak3,pengeluaran
beli mainan di supermarket,belanja,harian,pengeluaran
dapet menerim gaji tetap promo,gaji,gaji,pemasukan
beli kamera di shopee,belanja,elektronik,pengeluaran
masuk hadiiah pernikahan saudara,hadiah,kado,pemasukan
nerima gaji part time,gaji,gaji,pemasukan
beli roblox,hiburan,hiburan,pengeluaran
menerima hadiah tak terduga tiap bulan,hadiah,hadiah,pemasukan
komisi cair dari deal,gaji,komisi,pemasukan
pesan keyboard mechanical minggu ini,belanja,elektronik,pengeluaran
beli kontrakan tahunan,tagihan,sewa,pengeluaran
langganan trip ke lombok bru,hiburan,liburan,pengeluaran
ngambil shopee 11 11 malam ini,belanja,online_shop,pengeluaran
keseehatan umum baru,kesehatan,kesehatan,pengeluaran
meanng givewaay,hadiah,hadiah,pemasukan
ambi shopping center,belanja,belanja,pengeluaran
kuoota xl,tagihan,tagihan,pengeluaran
pesan makan sate kambing,makanan,makanan,pengeluaran
xxi sama pacar,hiburan,tontonan,pengeluaran
uang nkah,hadiah,hadiah,pemasukan
pecel lele,makanan,makanan,pengeluaran
menang giveaway dari temaan,hadiah,undian,pemasukan
bonus kera dari klien,gaji,bonus,pemasukan
trip ke bandung,hiburan,liburan,pengeluaran
belanja perlatan daupr,belanja,belanja,pengeluaran
dapat gaji ublanan,gaji,gaji,pemasukan
ngambil sabnu lifebuoy diskon,belanja,kecantikan,pengeluaran
langgganan bowling,hiburan,streaming,pengeluaran
batik air ke makassar,transport,transport,pengeluaran
sarapan bareng keluarga,makanan,makanan,pengeluaran
pesan skincare wardah bulan ini,belanja,kecantikan,pengeluaran
terima rezeik nomplok cash,hadiah,pemberian_masuk,pemasukan
langganan bayar kredit bulan ini,tagihan,kredit,pengeluaran
ambil kredit hp,tagihan,kredit,pengeluaran
ngasih gaji art bulanan,tagihan,gaji_pihak3,pengeluaran
langganan uang kos tadi,tagihan,sewa,pengeluaran
bayar ke atasan komisi proyk,tagihan,gaji_pihak3,pengeluaran
beli subscribe netflix,hiburan,streaming,pengeluaran
beli taksi blue bird kemarin,transport,umum,pengeluaran
ke rawat innap,kesehatan,prosedur,pengeluaran
beli viu premium minggu ini,hiburan,streaming,pengeluaran
order sate ayam,makanan,makanan,pengeluaran
order parfum bath body works maalm ini,belanja,kecantikan,pengeluaran
bayar ke gojek insentif,tagihan,tagihan,pengeluaran
pesan makan kwetiau,makanan,makanan,pengeluaran
dapet pneghasilan bulanan,gaji,gaji,pemasukan
hadiah dr keluarga,hadiah,hadiah,pemasukan
rooti bakar siang tadi,makanan,makanan,pengeluaran
bayar mobile legends diamod tiap bulan,hiburan,game,pengeluaran
perpanjang bayaar iuran rt bareng keluarga,tagihan,iuran,pengeluaran
isi bahan bakar,transport,pribadi,pengeluaran
ambi iuran kompleks perumahan bulan lalu,tagihan,iuran,pengeluaran
commuter line ke sekolah,transport,umum,pengeluaran
ngmbil skin valorant cash,hiburan,game,pengeluaran
ngambil hangout teman,hiburan,hiburan,pengeluaran
kopi sambil nugas,minuman,jajanan,pengeluaran
pesa hiburan pagi tadi,hiburan,hiburan,pengeluaran
maxim car ke bandara,transport,online,pengeluaran
beli di flash cofffee,minuman,jajanan,pengeluaran
bioskop bareng keeluarga,hiburan,tontonan,pengeluaran
pesan check up tahunan bulan lalu,kesehatan,prosedur,pengeluaran
jajan kwetiau,makanan,makanan,pengeluaran
uang dari sepupu,hadiah,hadiah,pemasukan
isi pln pasca bayar sama temen,tagihan,utilitas,pengeluaran
warisan tante sama temen,hadiah,pemberian_masuk,pemasukan
paket three,tagihan,internet_pulsa,pengeluaran
kirim komisi ke makelar,tagihan,gaji_pihak3,pengeluaran
tahu goreng siang tadi,makanan,jajanan,pengeluaran
dapaat kado dari teman,hadiah,kado,pemasukan
beli mie ayam,makanan,makanan,pengeluaran
biaya puskesmas,kesehatan,konsul,pengeluaran
pesan hangout teman bulan ini,hiburan,hiburan,pengeluaran
beli probiotik anak via transfer,kesehatan,obat,pengeluaran
bayar belanja umum cash,belanja,belanja,pengeluaran
pesan minuman koppi,minuman,jajanan,pengeluaran
serivce motor kemarin,transport,pribadi,pengeluaran
asuransi pendidikan rutin,tagihan,asuransi,pengeluaran
pln pasca bayar ruin,tagihan,utilitas,pengeluaran
bayar by u 50gb,tagihan,internet_pulsa,pengeluaran
beli kosmetik di blibli,belanja,kecantikan,pengeluaran
order zalora flash sale di kantor,belanja,online_shop,pengeluaran
klinik,kesehatan,konsul,pengeluaran
beli oximeteer di century,kesehatan,obat,pengeluaran
perpanjang futsal mingguan bulan ini,hiburan,aktivitas,pengeluaran
langganan tagihan listrik bulanan bulan lalu,tagihan,utilitas,pengeluaran
pesan vaksin influenza bulan lalu,kesehatan,prosedur,pengeluaran
pizza malam ini,makanan,makanan,pengeluaran
beli di kenangan signature,minuman,jajanan,pengeluaran
bayar ke vendor fee,tagihan,tagihan,pengeluaran
kiriman dari bos lama,hadiah,pemberian_masuk,pemasukan
dapat transferan dari teman,hadiah,hadiah,pemasukan
beliin makan tante,makanan,makanan,pengeluaran
diterima hadiah undian bank di kantor,hadiah,undian,pemasukan
gogo curry,makanan,makanan,pengeluaran
beli kamera,belanja,elektronik,pengeluaran
isi karaoke inul vizta sama temen,hiburan,aktivitas,pengeluaran
staycation,hiburan,hiburan,pengeluaran
oat milk latte,minuman,jajanan,pengeluaran
